@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric

@data
41,'2023/04/30 03:02:13:701',1,69,117,162,136,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
42,'2023/04/30 03:02:13:718',1,69,116,162,136,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
43,'2023/04/30 03:02:13:736',1,71,116,162,135,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
44,'2023/04/30 03:02:13:751',1,70,115,163,134,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
45,'2023/04/30 03:02:13:777',1,68,111,163,133,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
46,'2023/04/30 03:02:13:785',1,66,114,163,131,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
47,'2023/04/30 03:02:13:812',1,70,114,163,131,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
48,'2023/04/30 03:02:13:818',1,70,111,163,130,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
49,'2023/04/30 03:02:13:835',1,68,115,163,129,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
50,'2023/04/30 03:02:13:854',1,69,116,163,129,46,6,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
51,'2023/04/30 03:02:13:868',1,71,114,163,129,46,6,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
52,'2023/04/30 03:02:13:885',1,72,115,163,129,46,6,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
53,'2023/04/30 03:02:13:902',1,72,111,163,129,46,6,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
54,'2023/04/30 03:02:13:918',1,70,110,163,128,46,6,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
55,'2023/04/30 03:02:13:935',1,70,113,163,128,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
56,'2023/04/30 03:02:13:951',1,68,111,163,129,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
57,'2023/04/30 03:02:13:969',1,67,113,163,128,46,6,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
58,'2023/04/30 03:02:13:985',1,64,114,163,128,46,6,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
59,'2023/04/30 03:02:14:002',1,63,113,163,127,46,6,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
60,'2023/04/30 03:02:14:020',1,65,115,163,127,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
61,'2023/04/30 03:02:14:035',1,65,116,163,127,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
62,'2023/04/30 03:02:14:052',1,66,116,163,128,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
63,'2023/04/30 03:02:14:068',1,65,119,163,129,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
64,'2023/04/30 03:02:14:085',1,66,116,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
65,'2023/04/30 03:02:14:101',1,67,117,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
66,'2023/04/30 03:02:14:119',1,65,121,163,129,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
67,'2023/04/30 03:02:14:135',1,65,116,163,128,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
68,'2023/04/30 03:02:14:152',1,63,116,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
69,'2023/04/30 03:02:14:169',1,64,118,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
70,'2023/04/30 03:02:14:186',1,64,114,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
71,'2023/04/30 03:02:14:201',1,65,115,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
72,'2023/04/30 03:02:14:218',1,64,117,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
73,'2023/04/30 03:02:14:234',1,67,114,163,128,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
74,'2023/04/30 03:02:14:257',1,63,117,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
75,'2023/04/30 03:02:14:268',1,61,119,163,129,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
76,'2023/04/30 03:02:14:285',1,65,118,163,129,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
77,'2023/04/30 03:02:14:302',1,61,118,163,129,46,6,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
78,'2023/04/30 03:02:14:321',1,61,115,163,129,46,6,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
79,'2023/04/30 03:02:14:337',1,64,116,163,132,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
80,'2023/04/30 03:02:14:352',1,64,116,163,130,46,5,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
81,'2023/04/30 03:02:14:369',1,65,113,163,130,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
82,'2023/04/30 03:02:14:385',1,67,116,163,130,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
83,'2023/04/30 03:02:14:402',1,65,113,163,130,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
84,'2023/04/30 03:02:14:421',1,64,110,163,130,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
85,'2023/04/30 03:02:14:435',1,65,112,163,130,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
86,'2023/04/30 03:02:14:453',1,63,110,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
87,'2023/04/30 03:02:14:471',1,61,110,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
88,'2023/04/30 03:02:14:487',1,60,112,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
89,'2023/04/30 03:02:14:511',1,60,110,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
90,'2023/04/30 03:02:14:519',1,56,113,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
91,'2023/04/30 03:02:14:535',1,60,113,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
92,'2023/04/30 03:02:14:552',1,63,111,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
93,'2023/04/30 03:02:14:569',1,66,115,163,127,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
94,'2023/04/30 03:02:14:587',1,64,115,163,127,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
95,'2023/04/30 03:02:14:602',1,64,115,163,127,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
96,'2023/04/30 03:02:14:619',1,64,117,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
97,'2023/04/30 03:02:14:635',1,62,115,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
98,'2023/04/30 03:02:14:653',1,65,116,163,128,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
99,'2023/04/30 03:02:14:669',1,66,117,163,128,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
100,'2023/04/30 03:02:14:687',1,63,113,163,129,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
101,'2023/04/30 03:02:14:702',1,60,117,163,128,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
102,'2023/04/30 03:02:14:719',1,63,118,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
103,'2023/04/30 03:02:14:735',1,62,117,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
104,'2023/04/30 03:02:14:754',1,65,121,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
105,'2023/04/30 03:02:14:768',1,63,121,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
106,'2023/04/30 03:02:14:789',1,61,121,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
107,'2023/04/30 03:02:14:802',1,64,121,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
108,'2023/04/30 03:02:14:822',1,68,118,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
109,'2023/04/30 03:02:14:835',1,67,119,163,128,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
110,'2023/04/30 03:02:14:853',1,67,118,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
111,'2023/04/30 03:02:14:868',1,68,115,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
112,'2023/04/30 03:02:14:885',1,70,118,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
113,'2023/04/30 03:02:14:902',1,70,118,163,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
114,'2023/04/30 03:02:14:919',1,68,114,163,138,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
115,'2023/04/30 03:02:14:937',1,67,117,163,137,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
116,'2023/04/30 03:02:14:955',1,68,115,163,136,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
117,'2023/04/30 03:02:14:968',1,69,114,163,134,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
118,'2023/04/30 03:02:14:986',1,69,116,163,132,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
119,'2023/04/30 03:02:15:002',1,65,114,163,132,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
120,'2023/04/30 03:02:15:019',1,64,115,163,131,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
121,'2023/04/30 03:02:15:035',1,64,118,163,131,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
122,'2023/04/30 03:02:15:052',1,67,117,163,130,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
123,'2023/04/30 03:02:15:069',1,65,119,163,129,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
124,'2023/04/30 03:02:15:087',1,66,118,162,131,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
125,'2023/04/30 03:02:15:102',1,64,116,162,130,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
126,'2023/04/30 03:02:15:120',1,63,117,162,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
127,'2023/04/30 03:02:15:135',1,63,116,162,129,46,4,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
128,'2023/04/30 03:02:15:153',1,60,115,163,129,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
129,'2023/04/30 03:02:15:176',1,60,116,163,129,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
130,'2023/04/30 03:02:15:185',1,61,114,163,129,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
131,'2023/04/30 03:02:15:202',1,62,116,163,129,46,3,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
132,'2023/04/30 03:02:15:218',1,63,116,163,129,46,2,0.162642,0.738646,0.132362,0.087066,0.067427,0.28133,0.883459,0.913557
